Title,Location,Rent,Bathrooms,BHK,Area
"3 BHK Flat for Rent in Bhartiya Nikoo Homes, Thanisandra, Bangalore","Bhartiya Nikoo Homes, Thanisandra",45000,3.0,3.0,1099
"2 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore","Prestige Jindal City, Tumkur Road",36000,2.0,2.0,970
"4 BHK Flat for Rent in Prestige Jade Pavilion, Marathahalli Sarjapur Outer Ring Road, Bangalore","Prestige Jade Pavilion, Marathahalli Sarjapur Outer Ring Road",130000,4.0,4.0,2524
"3 BHK Flat for Rent in Divyasree Republic Of Whitefield, Kundalahalli, Brookefield, Bangalore","Divyasree Republic Of Whitefield, Kundalahalli, Brookefield",70000,3.0,3.0,1350
"3 BHK Flat for Rent in Sector 2 HSR Layout, Bangalore",Sector 2 HSR Layout,70000,3.0,3.0,1300
3 BHK House for Rent in Sector 1st HSR Layout Bangalore,Sector 1st HSR Layout,60000,4.0,3.0,2500
"3 BHK Flat for Rent in Maithri Shilpitha Splendour Annex, Marathahalli, Bangalore","Maithri Shilpitha Splendour Annex, Marathahalli",58000,3.0,3.0,1300
2 BHK Flat for Rent in Bangalore,,19000,1.0,2.0,860
"3 BHK Flat for Rent in Puravankara Purva Seasons, CV Raman Nagar, Bangalore","Puravankara Purva Seasons, CV Raman Nagar",85000,4.0,3.0,1980
"2 BHK Flat for Rent in Vandana Alpyne, Hsr Layout, Bangalore","Vandana Alpyne, Hsr Layout",40000,2.0,2.0,1050
"1 BHK Flat for Rent in Phase 5 JP Nagar, Bangalore",Phase 5 JP Nagar,16000,1.0,1.0,400
"2 BHK Flat for Rent in Basavanagudi, Bangalore",Basavanagudi,25000,2.0,2.0,800
"1 BHK Flat for Rent in Sowparnika Ashiyana, Whitefield, Bangalore","Sowparnika Ashiyana, Whitefield",15000,1.0,1.0,372
4 BHK Villa for Rent in Jigani Bangalore,Jigani,25000,4.0,4.0,1960
"3 BHK Flat for Rent in Salarpuria Silverwood Apartments, Old Madras Road, Bangalore","Salarpuria Silverwood Apartments, Old Madras Road",92000,3.0,3.0,1812
"2 BHK Flat for Rent in Sowparnika Ashiyana, Channasandra, Bangalore","Sowparnika Ashiyana, Channasandra",26000,2.0,2.0,400
"3 BHK Flat for Rent in Avalon Park At The Prestige City, Sarjapura, Bangalore","Avalon Park At The Prestige City, Sarjapura",60000,3.0,3.0,1620
"2 BHK Flat for Rent in Casagrand Boulevard, Hennur Main Road, Bangalore","Casagrand Boulevard, Hennur Main Road",40000,2.0,2.0,900
"3 BHK Flat for Rent in Sobha Hibiscus, Outer Ring Road, Bangalore","Sobha Hibiscus, Outer Ring Road",60000,1.0,3.0,1770
"3 BHK Flat for Rent in Confident Leo, Sarjapur Road, Bangalore","Confident Leo, Sarjapur Road",65000,3.0,3.0,1500
"3 BHK Flat for Rent in Salarpuria Sattva Senorita, Doddakannelli, Bangalore","Salarpuria Sattva Senorita, Doddakannelli",85000,3.0,3.0,1729
"3 BHK Flat for Rent in G Corp Residences, Koramangala, Bangalore","G Corp Residences, Koramangala",150000,3.0,3.0,1400
"3 BHK Flat for Rent in Bren Avalon, Marathahalli, Bangalore","Bren Avalon, Marathahalli",64000,3.0,3.0,1419
3 BHK House for Rent in 4th T Block East Jayanagar Bangalore,4th T Block East Jayanagar,130000,4.0,3.0,2400
"3 BHK Flat for Rent in Puravankara Purva Westend, Hosur Road, Bangalore","Puravankara Purva Westend, Hosur Road",62000,3.0,3.0,1689
"2 BHK Flat for Rent in DNR Casablanca, Mahadevapura, Bangalore","DNR Casablanca, Mahadevapura",65000,2.0,2.0,1288
"2 BHK Flat for Rent in Mahatma Gandhi Road, Bangalore",Mahatma Gandhi Road,62000,2.0,2.0,1255
"1 BHK Flat for Rent in Sobha Lake Garden, Bharathi Nagar, Krishnarajapura, Bangalore","Sobha Lake Garden, Bharathi Nagar, Krishnarajapura",37000,1.0,1.0,765
"3 BHK Flat for Rent in Koramangala, Bangalore",Koramangala,90000,3.0,3.0,1800
"3 BHK Flat for Rent in Adarsh Rhythm, Panduranga Nagar, bannerghatta main Road, Bangalore","Adarsh Rhythm, Panduranga Nagar, bannerghatta main Road",55000,3.0,3.0,1680
"2 BHK Flat for Rent in Prestige Finsbury Park, Yelahanka Airforce Base, Bangalore","Prestige Finsbury Park, Yelahanka Airforce Base",22000,2.0,2.0,680
"2 BHK Flat for Rent in Bellandur, Outer Ring Road, Bangalore","Bellandur, Outer Ring Road",40000,2.0,2.0,1100
2 BHK House for Rent in Koramangala Bangalore,Koramangala,31000,2.0,2.0,900
"3 BHK Flat for Rent in Sterling Ascentia, Marathahalli Sarjapur Outer Ring Road, Bangalore","Sterling Ascentia, Marathahalli Sarjapur Outer Ring Road",70000,3.0,3.0,2004
"3 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore","Prestige Estates Shantiniketan, Whitefield",85000,3.0,3.0,2072
"2 BHK Flat for Rent in Vizipa Optima, Radha Reddy Layout, Bangalore","Vizipa Optima, Radha Reddy Layout",50000,2.0,2.0,900
"3 BHK Flat for Rent in Prestige Sunrise Park, Electronic City, Bangalore","Prestige Sunrise Park, Electronic City",55000,3.0,3.0,1257
"3 BHK Flat for Rent in Nagarjuna Maple Heights, Mahadevapura, Bangalore","Nagarjuna Maple Heights, Mahadevapura",70000,3.0,3.0,1420
3 BHK House for Rent in ITI Layout HSR Layout Bangalore,ITI Layout HSR Layout,55000,3.0,3.0,1200
"2 BHK Flat for Rent in Brigade Buena Vista, Budigere Cross, Bangalore","Brigade Buena Vista, Budigere Cross",35000,2.0,2.0,798
"2 BHK Flat for Rent in Mantri Serenity, Kanakapura Road, Bangalore","Mantri Serenity, Kanakapura Road",45000,2.0,2.0,1550
"3 BHK Flat for Rent in Cattleya Sriven Nest, Varthur, Bangalore","Cattleya Sriven Nest, Varthur",120000,3.0,3.0,4000
3 BHK Villa for Rent in Electronic City Bangalore,Electronic City,80000,4.0,3.0,3060
"3 BHK Flat for Rent in Embassy Heaven, RT Nagar, Bangalore","Embassy Heaven, RT Nagar",110000,4.0,3.0,1950
"3 BHK Flat for Rent in Karle Zenith, Hebbal, Bangalore","Karle Zenith, Hebbal",100000,4.0,3.0,2500
4 BHK Villa for Rent in Devanahalli Bangalore,Devanahalli,160000,4.0,4.0,4100
"2 BHK Flat for Rent in Brigade El Dorado, Bagalur Main Road, Bangalore","Brigade El Dorado, Bagalur Main Road",20000,2.0,2.0,600
"2 BHK Flat for Rent in Gunjur, Bangalore",Gunjur,45000,2.0,2.0,1150
3 BHK Villa for Rent in Chikkagubbi Bangalore,Chikkagubbi,120000,3.0,3.0,2184
6 BHK Villa for Rent in Marathahalli Bangalore,Marathahalli,170000,5.0,6.0,5000
"4 BHK Flat for Rent in TATA The Promont, Banashankari, Bangalore","TATA The Promont, Banashankari",100000,4.0,4.0,3024
"2 BHK Flat for Rent in Pariwar Wise Palm Springs, Haralur Main Road, Bangalore","Pariwar Wise Palm Springs, Haralur Main Road",45000,2.0,2.0,1075
"3 BHK Flat for Rent in Sobha Silicon Oasis, Hosa Road, off Hosur Road, Bangalore","Sobha Silicon Oasis, Hosa Road, off Hosur Road",70000,4.0,3.0,1550
"3 BHK Flat for Rent in Godrej Eternity, Kanakapura Road, Bangalore","Godrej Eternity, Kanakapura Road",45000,4.0,3.0,1700
"3 BHK Flat for Rent in Shriram Chirping Woods, Sarjapur Road, Bangalore","Shriram Chirping Woods, Sarjapur Road",70000,2.0,3.0,1300
3 BHK Villa for Rent in Marathahalli Bangalore,Marathahalli,88000,4.0,3.0,2000
"2 BHK Flat for Rent in Padma Residency, Phase 5 JP Nagar, Bangalore","Padma Residency, Phase 5 JP Nagar",25000,2.0,2.0,980
"2 BHK Flat for Rent in Akul Residency, Gunjur, Bangalore","Akul Residency, Gunjur",35000,2.0,2.0,1175
"3 BHK Flat for Rent in Karle Zenith, Hebbal, Bangalore","Karle Zenith, Hebbal",100000,4.0,3.0,2424
"3 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore","Prestige Jindal City, Tumkur Road",44000,3.0,3.0,1187
"4 BHK Flat for Rent in Sobha Windsor, Immadihalli, Whitefield, Bangalore","Sobha Windsor, Immadihalli, Whitefield",90000,4.0,4.0,1700
2 BHK Flat for Rent in Bangalore,,35000,2.0,2.0,1100
"3 BHK Flat for Rent in Kalena Agrahara, Bangalore",Kalena Agrahara,34000,3.0,3.0,1150
"1 BHK Flat for Rent in Stage 1 BTM Layout, Bangalore",Stage 1 BTM Layout,26000,1.0,1.0,500
"3 BHK Flat for Rent in Nisarga Keerthana, Hosur Road, Bangalore","Nisarga Keerthana, Hosur Road",17999,4.0,3.0,1411
"3 BHK Flat for Rent in Peninsula Pinnacle, Confident Rigel Althena, Bangalore","Peninsula Pinnacle, Confident Rigel Althena",25000,2.0,3.0,1120
"3 BHK Flat for Rent in Brigade Cornerstone Utopia, Varthur, Bangalore","Brigade Cornerstone Utopia, Varthur",70000,3.0,3.0,1047
"3 BHK Flat for Rent in Sobha Magnolia, Bannerghatta Main Road, Bangalore","Sobha Magnolia, Bannerghatta Main Road",65000,3.0,3.0,2010
"2 BHK House for Rent in Fci Layout, Deepanjali Nagar Bangalore","Fci Layout, Deepanjali Nagar",20000,2.0,2.0,1100
"3 BHK Flat for Rent in DS MAX Sangam, Whitefield, Bangalore","DS MAX Sangam, Whitefield",26000,3.0,3.0,1352
"3 BHK Flat for Rent in Bricks & Milestones Wonderwall, Sarjapur Road, Bangalore","Bricks & Milestones Wonderwall, Sarjapur Road",45000,3.0,3.0,1525
"3 BHK Flat for Rent in Sobha Victoria Park, Hennur Main Road, Bangalore","Sobha Victoria Park, Hennur Main Road",55000,3.0,3.0,1833
"2 BHK Flat for Rent in Anubhav Nagar, Vijayanagar, Bangalore","Anubhav Nagar, Vijayanagar",15000,1.0,2.0,700
3 BHK House for Rent in Concord Garden City Bangalore,Concord Garden City,45000,3.0,3.0,2330
"3 BHK Flat for Rent in Srinagar, Bangalore",Srinagar,45000,3.0,3.0,2400
"2 BHK Flat for Rent in Prestige Sunrise Park, Phase 1 Electronics City, Bangalore","Prestige Sunrise Park, Phase 1 Electronics City",44700,2.0,2.0,1128
